Article Title,Author,Journal Title,International,Subjects,Keywords,text
Organized Labor and Democratization in Mexico.,"AREOUS, GRACIELA BENSUSÁN; MIDDLEBROOK, KEVIN J.",Foro Internacional,1,"WORKING class; DEMOCRATIZATION; MEXICO; SOCIETIES, etc.",democratization; State-worker relationship.; workers' movement,"This article analyzes the response of the Mexican workers' movement to democratization and the various consequences of this process for labor policies, providing a contribution to the comparative politics debate on the role of labor unionism in democratic change. The system that governs the State-worker relationship, a legacy of Mexico's authoritarian past, helps to explain the calculations made by labor union leaders and government officials regarding the country's democratic transition. This document analyzes changes to political representation in labor unions and the electoral behavior of unionized workers, together with the successive failures experienced by the proposed reform to the Federal Working Law since 2000 and the implications for the workers' movement and Mexican society."
Other books received.,,International Affairs,0,INTERNATIONAL relations; LISTS,,"The article contains a list of other books received by the journal. The topics include human rights and ethics, international law and organization and politics, democracy and social affairs."
Overseas Military Bases: Understanding Host Nation Support.,"DRAEGER, JEFFREY J.",FAOA Journal of International Affairs,0,MILITARY bases,,"An abstract of the article ""Overseas Military Bases: Understanding Host Nation Support,"" by Jeffrey J. Draeger is presented."
P02-460 - The united new politics theory could cure the mankind and safeguard the health world,"Han-You, X.",European Psychiatry,1,POLITICAL science; PEACE; COMMUNISM; CAPITALISM; HEALTH; HUMAN beings; DEVELOPED countries,,"The mankind is striving for peace and health. Because the social and politic influence can cause diseases. The unstable world has been causing bad impact on the health level. The differences of philosophy have been bringing out the unstable world and bad health. There is a new breakthrough politics theory, all the countries are communism beded, was first concluded by the author. The new theory is being supported by lots of facts. The new theory may prevent worldwide war and bleeding and promote health, peace and development around the world. The world has been being divided and confronted by communism and capitalism. It is known to all that the politic system of China is so called mainly communism. But lots of facts indicate that the Americans led developed countries have been behaving communisms. So as the other developed countries. Though the Americans led developed countries do not consider communism as their philosophy. In fact, they are the new types of communism countries. The new breakthrough politics theory can pave the way for peace and development around the world and prevent worldwide from war and bleeding. If we adopted to the new politics theory. The world would be better and better. The constantly bad social and politic influence on health of mankind could be prevented and cured. The united new politics theory could cure the mankind and safeguard the health world. The author is urging the policymakers, politicians around the world adopt the united new politics theory, cure the mankind!"
"PARTY IDENTIFICATION IN LITHUANIA: THE OUTCOME OF FAMILY SOCIALISATION, POLITICAL CLEAVAGES, OR HABIT?","Ramonaitė, Ainė",Politologija,1,SOCIALIZATION; POLITICAL participation; FAMILIES; LITHUANIA -- Politics & government -- 1991-,,"An abstract of the article ""Party Identification in Lithuania: The Outcome of Family Socialisation, Political Cleavages, or Habit?,"" by Ainė Ramonaitė is presented."
Pastoral vulnerability and public policies to secure sahelian pastoral mobility.,"BONNET, Bernard",Mondes en Developpement,1,SAHEL; PASTORAL societies; VULNERABILITY (Psychology) -- Social aspects,mobility; pastoral societies; pastoralism; resilience; vulnerability,"An abstract of the article ""Pastoral vulnerability and public policies to secure sahelian pastoral mobility"" by Bernard Bonnet is presented."
Pendulum Swings in between Civil Rights and Security: EU Policies against Terrorism in the Light of the PNR Cases.,"ÖZCAN, Mehmet; YILMAZ, Fatma",Review of International Law & Politics,0,COUNTERTERRORISM -- Government policy; CIVIL rights; EUROPEAN Union -- Politics & government; EUROPEAN Union countries; TWENTY-first century,civil rights and liberties; European Union; fight against terrorism; Passenger name records (PNR),"The change in national and international security policies after 9/11 finds a ground not only in US policies but also those of the EU. The EU has chosen the way of harmonizing national legislation through activation of police and judicial cooperation whereby it has tried to contribute the integration. On the other hand, the EU is on the way of increasing its transatlantic ties. However, cooperation in fight against global terror and measures led to make the EU find itself in a dilemma as well as causing change in security perception. The required balance in between security need and civil liberties, particularly in terms of transatlantic cooperation, became the one of the most debatable issues in the EU. This study deals with the dilemma which the EU has experienced for in terms of counter-terrorism policies and with the balance between security and civil liberties, through the sample of PNR Case."
PERSONALITIES OR VALUES? LEADERS OF LITHUANIAN POLITICAL PARTIES IN THE EYES OF VOTERS AND LIMITS OF PERSONALISATION OF POLITICS.,"Kavaliauskaitė, Jūratė",Politologija,1,POLITICAL parties; VOTERS -- Attitudes; LITHUANIA,,"An abstract of the article ""Personalities or Values? Leaders of Lithuanian Political Parties in the Eyes of Voters and Limits of Personalisation of Politics,"" by Jūratė Kavaliauskaitė is presented."
"Photo elicitation: origins, development, topics and forms.","Harper, D.",Sotsiologicheskiy Zhurnal,1,SOCIOLOGICAL research; FIELD work (Sociology),community; identity; photo elicitation; photo elicitation interview; photovoice,"An abstract of the article ""Photo Elicitation: Origins, Development, Topics and Forms"" by D. Harper is presented."
Political science for what? Giovanni Sartori's scholarly answer.,"Pasquino, Gianfranco",Rivista Italiana di Scienza Politica,1,"POLITICAL systems; POLITICAL science; SARTORI, Giovanni, 1924-2017",Constitutional engineering; Democracy; Giovanni Sartori; Political science,"There are different conceptions of political science. Several scholars stress the word «science» and some of them accurately avoid any «political» implications of their work. Many other scholars prefer to underline the importance of the adjective «political». They recognize the implications of their research and writings for the functioning of the parties, the institutions, the political systems. They go even further, that is, they suggest how the knowledge acquired by political science could be put to good use. Giovanni Sartori's contributions are addressed, more or less explicitly, into the second direction. Sartori has no doubt: political science is a science that can be applied. His answer to the question «knowledge for what?» is loud and clear. Political science knowledge can improve the functioning of democratic political systems, of political parties, of the institutional circuit «voters-Parliament-government», and can assess the likely consequences of different types of electoral systems. Both in his scholarly production and in his frequent contributions to the Italian debate on institutional reforms, Sartori has shown how his political science provides truly useful knowledge. This paper will explore, analyze, and evaluate Sartori's teachings and writings in the field of political and constitutional engineering."
Politics as usual!,,Zeitschrift für Internationale Beziehungen (ZIB),1,"DECISION making; EUROPEAN Sovereign Debt Crisis, 2009-",euro crisis; european union; institutionalism; joint-decision making; regulation,"The EU's reaction to the dramatic Euro crisis follows a normal institutional pathway which has already been pursued in earlier crises of integration. The EU is characterized by jointdecision-making which does not only prevent crisis management by integration but also crisis management by desintegration. Thus, the EU has to rely on conflict-preventing incremental decision-making strategies. Disagreements in monetary policy since Maastricht have been circumvented by incomplete contracts which led to massive follow-up problems during the Euro crisis. Faced with critical publics in many member states, the EU reacts with further conflictpreventing decision-strategies such as the limited creation of fiscal capacity and a strong preference for regulation. As in earlier crises, the EU emphasizes incremental integration in order to mitigate pressing crisis symptoms and to reassure critical publics. However, these strategies do not solve the causes of the crisis but only further process the crisis in institutionally acceptable pathways."
POP YOUTH. A COMPARISON OF YOUTH SUBCULTURES IN CULTURAL STUDIES OF GREAT BRITAIN AND SLOVENIA IN THE 20th CENTURY.,"TOMC, Gregor",Teorija in Praksa,1,SOCIAL constructionism; CULTURAL studies; CROSS-cultural studies on youth,cultural industry; cultural studies; democracy; pop culture; socialism; youth; youth subcultures,"The author discusses some key approaches to understanding youth in modern societies (generational identity, peer groups, communitas, moratorium) and differences in the social construction of youth in part-modern (fascism, Nazism, communism) and modern states (political democracies). He then discusses the difference between cultural studies of youth in Great Britain after the Second World War and research of youth in the context of socialism as well as in the context of political democracy in Slovenia. During socialism, the hegemonic approach to social science was class analysis and, as a result, youth was perceived as an ideological construct. There was no interest in research into youth lifestyles. The first research of youth subcultures was only carried out in the 1990s. In the concluding discussion, the author explains this research lag with the underdeveloped cultural industry, the smallness of the Slovenian cultural space and the conservatism of its cultural milieu."
Pourquoi les mexicains s'associent et participent aux organisations de la société civile.,"SOMUANO, FERNANDA",Foro Internacional,1,NONGOVERNMENTAL organizations; MEXICO; SOCIAL participation,Mexique; organisation de la société civile; participation politique; société civile; tendance à s'associer,"Le Mexique ne se distingue point par des citoyens avides de participation. Mis à part le vote, les mexicains n'ont pas recours à des pratiques qui sont fréquentes dans les démocraties les plus solides, telles que de communiquer avec un député, assister aux réunions du Conseil Municipal, signer une pétition ou participer à une organisation civile. Cet article analyse pourquoi un individu décide de s'associer et de faire partie d'une organisation de la société civile au Mexique, et ce qui mène les personnes à présenter leurs demandes par l'intermédiaire de cette organisation plutôt que d'un groupement d'intérêt, un mouvement social, un parti politique ou une entreprise. De même, on s'interroge sur la façon de stimuler la participation et l'organisation des citoyens dans une démocratie comme celle du Mexique."
PÔVOD POJMU SLOBODNEJ VÔLE V ANTICKOM MYSLENÍ: Úvaha nad knihou Michaela Fredeho A Free Will: Origins of the Notion in Ancient Thought.,"LABUDA, PAVOL",Filozofia,1,"FREE will & determinism; FREDE, Michael",Aristotle; determinism; Epictetus; free will; freedom; origen; platonism; plotinus; St. Augustine; stoicism; will,"The paper deals with free will as discussed in the recent book of Michael Frede A Free Will: Origins of the Notion in Ancient Thought. Besides a close view on the structure of Fredes's main ideas and arguments, the paper aims to provide a critical discussion of Frede's view of St. Augustine's contribution to the development of the notion of free will. This would enable us to explore and re-think the historical and philosophical conditions of the rise of the notion of free will in ancient thought."
Preface.,"Smith, Martin J.",Political Studies,0,POLITICAL science; BIOLOGY,,"The article introduces this issue of the journal and cites a number of reports including the exploration of biology and political science by Justin Greaves and Wyn Grant, and the distinction between political science and political studies asserted by Patrick Dunleavy."
PRESSE EN LIGNE: OÙ EN EST LA RECHERCHE?,"Dagiral, Éric; Parasie, Sylvain",Réseaux (07517971),1,PRESS; WEBSITES,,The appearance of the first newspaper websites fifteen years ago gradually called into question the social sciences' research on journalism. This article reviews the international literature on that research and highlights both the historical continuities and the discontinuities of journalists' activities. Six main themes are apparent throughout: technical innovation in the press; the production of on-line news; Internauts' contribution to news production; changes in professional identities; the economic models of the on-line press; and the uses of information on the internet.
PROTECTION OF JOURNALISTS' CONFIDENTIAL SOURCES: LEGAL REGULATION AND VIEWS OF SLOVENIAN JOURNALISTS.,"ČEFERIN, Rok; POLER KOVAČIČ:, Melita",Teorija in Praksa,1,CONFIDENTIAL communications; LEGAL status of journalists; HUMAN rights; EUROPEAN Union countries,case law; confidential news sources; European Court of Human Rights; journalism ethics; journalists' views; mass media law; source protection,"The main goal of this article is to research how the protection of journalists' confidential sources is defined in the normative documents of the Council of Europe and the European Union, what is the case law of the European Court of Human Rights, and what is the normative regulation of source protection in Slovenia. The authors state that in the European legal arena it is allowed to demand that a journalist reveal a secret source only exceptionally, when there is intense public interest, and they suggest changes in the Slovenian legislation. Analysis of the relevant legal documents and case law is combined with the method of semi structured interviews with 15 journalists. The interviewees have different views on whether revealing a confidential source is admissible; the prevalent one is that the promise of confidentiality should be respected unless the circumstances are exceptional."
Public Identities and Democratic Models: A Perspective on the Construction of Political Modernity in South-Eastern European [XIX century].,"ALEXANDRESCU, RALUCA",Studia Politica: Romanian Political Science Review,1,DEMOCRACY; CIVIL society,civil society; conflict; democracy (theory of); individuals; modernity; toleration,"Modern European identity is built around two types of cleavages revealed in the beginning of the XIX century: fraternity and conflict. The meanings and the different readings of these two themes of the democratic modernity provide by themselves an accurate image of the period in question. For Central and South-eastern Europe, these two indicators burst into the political scenery and in the political thought at the same period, under the significant impact of the French Revolution. This article is tracking the main paradigm changes produced in the political thought in this part of Europe, especially in the Romanian Principalities, interpreted trough the lenses of civic aggregation and the creation of civil society. Individuals are more and more defined as holding a double existence, as public markers and private entities; this fresh perspective accompanies the expression of either tolerance (accompanied by an auto-critical perspective) or antagonism (of class, race, religion, civilization in a more general matter of speaking) and they are at the ground foundation of modern political system."
Publicity and private life within the Greek blogosphere.,"Pleios, George; Poulakidakos, Stamatis; Kalpaki, Kornilia; Kappas, Grigoris; Manatou, Maria-Eleni; Papacharalampous, Maria-Eleni",International Journal of Electronic Governance,0,BLOGS,anonymity; blogosphere; blogs; Greece; journalism; negative blog comments; new media content; new media discourse; political communication; private life; television culture; TV culture; weblog content; weblogs,"An abstract of the article ""Publicity and Private Life Within the Greek Blogosphere,"" by George Pleios and colleagues is presented."
PUBLICITY BETWEEN 'NEW MEDIA AND 'OLD' THEORIES.,"SPLICHAL, Slavko",Teorija in Praksa,1,PUBLICITY; ALTERNATIVE mass media; TECHNOLOGICAL innovations in mass media; MASS media research,global governance; new media; public opinion; public sphere; publicity,"Despite the enormous technological and social (especially economic) changes in the era of globalisation, many 'old' assumptions about the public, public opinion and the public sphere remain in force and, despite the latest technological developments in communication, many 'old' contradictions remain unresolved. The Internet has not succeeded in bringing into play the fundamental normative feature of public media - the conversion of particularistic interests into a common interest by confronting the rulers and the ruled, and mediating between them - not because of its technological nature, but because of its social nature. More than new interpretations of the (transnational) public sphere and public opinion, efforts are needed to change them in a direction that would enable the manifestation of publicity in its original 'three-dimensional design' as a personal right to communicate in public, surveillance of the public over government (governance), and mediation between the state and civil society."
Quality beyond the SSCI.,,Zeitschrift für Internationale Beziehungen (ZIB),1,SCHOLARLY periodicals -- Ratings & rankings,global governance; international organziations; ir journals; professionalization; ssci,"It has become common practice to draw on the Social Science Citation Index (SSCI) to assess the quality of political science journals. While this seems to be adequate for journals published in English, it appears to be inappropriate with regard to non-English journals such as the German-language Zeitschrift für Internationale Beziehungen (ZIB). For this reason our assessment of the quality of the ZIB draws on two alternative criteria: we analyze on the one hand whether the ZIB has developed its own substantive profile, i.e. a thematic core which coincides with theoretical and methodological pluralism; and we analyze on the other hand ZIB's academic relevance, i.e. whether it is used for publication and cited by a heterogenous community of relevant IR scholars. The ZIB fares pretty well against both criteria, thus testifying the high quality standards it has reached in the two decades of its existence. ZIB publications seem to be key for academic careers in German IR, perhaps more so than some publications in English speaking SSCI-listed journals."
QUARTERLY UPDATE ON CONFLICT AND DIPLOMACY.,,Journal of Palestine Studies,0,"ARAB-Israeli peace process; ARAB-Israeli conflict, 1993-; MILITARY relations; GAZA Strip; ISRAEL; OBAMA, Barack, 1961-",,"Summarized versions of news events that were reported by various sources are presented including the topics of the Arab-Israeli peace process, Israel's siege of Gaza and the Mavi Marmara flotilla incident, and U.S. President Barack Obama's first interview with Israeli TV."
Radical Muslim Politics from Comparative Perspective: Theological Deprivation as the Major Source of Hizb ut-Tahrir's Influence.,"YILMAZ, İhsan",Review of International Law & Politics,0,RADICALISM; MUSLIMS -- Political activity; HIZB al-Tahrir,Britain; deprivation; Egypt; Hizb ut-Tahrir; Muslim Politics; radicalism; Uzbekistan,"This study is a comparative qualitative analysis of radical Muslim politics. It focuses on the transnational anti-systemic and anti-democracy Hizb ut-Tahrir (hereinafter referred to as HT) that aims to establish a global Muslim state called Caliphate by nonviolence means. HT takes advantage of socio-economic and political deprivations, marginalization, Islamophobia, social exclusion, authoritarian political structures, repression, political opportunity structures, and ""Western foreign policies towards the Muslim world. But our analysis of three countries [Britain, Uzbekistan and Egypt] has shown that these factors alone cannot explain why HT is influential in some countries but not in some others where these disadvantages as far as the Muslim youth are concerned also exist. Our comparative analysis of the three cases suggests that theological deprivation is the major factor that paves the way for radicalization of the Muslim youth when socio-economic and political deprivations already exist."
Rational and Constructivist Approaches to the Study of International Political Economy.,"Moschella, Manuela",Rivista Italiana di Scienza Politica,1,INTERNATIONAL economic relations; RATIONALISM,American school; British school; constructivism; international political economy; rationalism,"The paper compares the rational and the constructivist approach to the study of international political economy (Ipe). In doing so, the paper focuses on the ontological and epistemological features that allow distinguishing between the two approaches. This distinction is further itemized in the illustration of the two main, contemporary Ipe schools: the American and the British school. The article concludes by reflecting on the modalities through which recent studies have attempted to reconcile the rational and the constructivist approach."
Rebellion and Government: Elite Strategies of Legitimation in Kosovo.,"Hensell, Stephan",Zeitschrift für Internationale Beziehungen (ZIB),1,POLITICAL communication; WAR; KOSOVO (Republic),elites; framing; Kosovo; legitimation; rebels,"The transformation of rebel groups into political elites after war marks a transition from armed resistance to political domination. These political positions, however, need to be legitimated. The article discusses strategies of legitimation of the new political elites in Kosovo, who emphasize their governance competencies and the integration in international institutions in international arenas while emphasizing the myth of war and the commemoration of the resistance in local arenas. The results are strategic acts of communication, which differ according to the addressee. The case of Kosovo illustrates that both audiences are separable and that the postwar remembrance of the armed resistance plays a central role for the legitimation of the actors."
Rebels With a Cause - But Which One? Defections from Legislative Party Unity in Italy and Their Individual and Institutional Determinants.,"Curini, Luigi; Marangoni, Francesco; Tronconi, Filippo",Rivista Italiana di Scienza Politica,1,LEGISLATIVE voting; POLITICAL parties; ITALY,electoral rules; fractional logit; Italian political system; party unity; roll call,"The topic of legislative party unity has received growing attention from scholars of comparative politics in recent years; however, the study of legislative party unity in the Italian context has been by and large excluded from most of the literature. The purpose of this article is to fill this gap by shedding light on the magnitude of the phenomenon of legislative voting defections and offering some possible explanations for these defections. Drawing on an original dataset spanning over three legislative terms (13th, 14th, and 15th), the results of this study suggest that the traditional image of Italian politics dominated by strong party organisations overwhelming the individual components of representation is to a large extent still valid, at least in the field of legislative voting. This does not mean that parties are able to perfectly control the parliamentary activity of their members. On the contrary, defections from the official party line are present in Italy as in other parliamentary democracies and here too they are driven by the structure of opportunities in which elected representatives operate. In particular, we show that individual characteristics have no discernable impact on legislative voting, while party reputation, inclusion in government coalitions, and the electoral system are all relevant factors in explaining the propensity of MPs to break party discipline."
Recent Articles in the Field of Public Opinion Research.,"Mortimore, Roger",International Journal of Public Opinion Research,0,PUBLIC opinion polls; VOTING; REPORTERS & reporting,,"The article presents abstracts public opinion research including accuracy measure for polling bias, a study to decrease the over-reporting of voting, and enhancement of civic discourse through youth voters' participation in public opinion polls."
Recent developments in the finance and economic growth literature.,"Eggoh, Jude C.",Mondes en Developpement,1,ECONOMIC development; DIVERSIFICATION (Finance),economic growth; financial development,"An abstract of the article ""Recent Developments in the Finance and Economic Growth Literature"" by Jude C. Eggoh is presented on financial development and risk diversification."
Recent Publications.,,International Spectator,0,WORLD politics; INTERNATIONAL relations; ENERGY policy; RUSSIA; EUROPEAN Union; RESEARCH,,"The article presents abstracts of books about politics published as of September 2012, including ""The European Union Diplomatic Service: Ideas, Preferences and Identities,"" by Caterina Carta, and ""Russian Energy Security and Foreign Policy,"" edited by Adrian Dellecker and Thomas Gomart."
Reflection of the In-Between State in the Novel Trys Sekundes Dangaus by Sigitas Parulskis.,"KATINIENĖ, VIOLETA",Lituanus,1,"TRYS sekundes dangaus (Book); PARULSKIS, Sigitas",,
Reform of water services in African rural areas: stakes and limits of the institutional editing of management. A case study in Senegal.,"Diop, Moussa; Dia, Amadou Hamath",Mondes en Developpement,1,SENEGAL; WATER management,drinking water; governance; institutional deficiencies; public policy; reform,"An abstract of the article ""Reform of Water Service in African Rural Areas: Stakes and Limits of the Institutional Editing of Management. A Case in Senegal"" by Moussa Diop and Amadou Hamath Dia is presented."
Relations between Mexico and China: the Politics of Perplexity.,"CORNEJO, ROMER",Foro Internacional,1,"MEXICO -- Foreign relations -- 2000-; CHINA -- Foreign relations -- 21st century; CALDERON Hinojosa, Felipe, 1962-",China; Confucius Institutes; Felipe Calderón; Mexico; trade deficit; déficit comercial; Institutos Confúcio; México; Chine; déficit commercial; Instituts Confucius; Mexique,"This paper presents an overview of the principal events affecting the relationship between Mexico and China, in order to explain the deterioration it underwent in 2012. It begins with a look at the foundations of Mexico's foreign policy, set out in the National Development Plan, before turning to trade relations, characterized by increasing trade, Mexico's growing trade deficit, negotiations on safeguards and the reaction of the affected sectors in Mexico. Subsequently, the text presents the diplomatic interactions and disagreements, and finally reviews aspects of the perceptions each country holds of the other that may affect the state of their relations."
Religiosity and its consequences in the sphere of norms and values.,"Prutskova, E. V.",Sotsiologicheskiy Zhurnal,1,VALUES (Ethics); RELIGIOUSNESS; SOCIAL norms,European Values Study; Religiosity; religious congruence; religious socialization,"An abstract of the article ""Religiosity and its Consequences in the Sphere of Norms and Values"" by E.V. Prutskova is presented."
Religiosity and Volunteering in Japan.,Haruyo MITANI,Soshioroji,1,VOLUNTEER service; JAPAN; RELIGIOUSNESS,,"An abstract of the article ""Religiosity and Volunteering in Japan: Influence of Diffused Religiosity on Volunteering Among Non-Members of Religious Groups,"" by Haruyo Mitani."
"Religious Revival among the Zhuang People in China: Practising ""Superstition"" and Standardizing a Zhuang Religion.","Ya-ning, KAO",Journal of Current Chinese Affairs,1,STANDARDIZATION; CHINA; REVIVALS (Religion); ZHUANG (Chinese people); SCHOLARS; SUPERSTITION,"""superstition""; Buluotuo; China; Nong Zhigao; religious revival; Zhuang people","This paper examines two cases of Zhuang religious revival involving multiple actors. It shows how consideration of ""superstition"" ( mixin) places some religious practice outside the institutional framework when discussing the modern concept of religion in China. In this paper, I particularly focus on two main dimensions of religious revival among the Zhuang people. The first is a grassroots dimension that involves the revival of a so-called ""superstitious"" cult in which Zhuang people along the Sino-Vietnamese border carry out shamanic rituals to make offerings to a powerful chief-turned-deity, Nong Zhigao, and his wife. The second dimension is a top-down dynamic and involves a series of projects conducted by Zhuang officials, scholars and business persons, which aim to standardize a Zhuang religion, known as Mo religion. These two cases of religious revival demonstrate the varied strategies utilized by different actors in response to government policies regarding religion in China."
Remembering the Orly Attack.,"GAUIN, Maxime",Review of International Law & Politics,0,TERRORISM; AEROPORT d'Orly; FRANCE,ARF; Armenian Terrorism; ASALA; Hunchak; JCAG; Orly; Ramkavar,"The bombing of Orly Airport, on July 15, 1983, one the two bloodiest attacks by Armenian terrorists in the 1970s and 1980s, is not an accident or a crime whose responsibility could be attributed only to a tiny group of extremists. It is rather a logical consequence of a decade of violence. If the trial of 1985 was a great victory against the terrorism, the ""recognition"" of the ""Armenian genocide"" claims in the French Parliament, against the dispositions of the French Constitution, was a reward to terrorism, and decisive in securing the release of the main perpetrator of the Orly bombing."
Reports.,,Journal of Peacebuilding & Development,0,SOCIAL services; PEACEBUILDING; POLITICAL parties; HUMAN services; PEACE,,"Abstracts of several reports including ""Peace Dividends and Beyond: Contributions of Administrative and Social Services to Peacebuilding"" by Erin McCandless, ""Political Parties and Peacebuilding in Myanmar"" by Marte Nilsen & Stein Tonnesson and ""The Contested Corners of Asia: Subnational Conflict and International Development Assistance"" by Thomas Parks, Nat Colletta and Ben Oppenheim are presented."
Resistance and Domination in World Society: Introduction.,"Beck, Teresa Koloma; Veit, Alex",Zeitschrift für Internationale Beziehungen (ZIB),1,INTERNATIONAL relations; GLOBALIZATION; RESISTANCE to government,contentious politics; domination; globalization; resistance; violence,"As a thematic introduction of the forum, this paper develops a concept of resistance that makes the term fruitful for the study of International Relations (IR). We propose to consider resistance and domination not as distinct phenomena, but as a complex. The empirical observation of resistance is the starting point for research on resistance and domination alike. Such a change of perspective seems useful because it allows the empirical analysis of structures of domination under the conditions of globalization. The latter are not simply evident, but become visible and accessible at the moment of their oppositional questioning. However, we reduce the analytical significance of resistance not to a source of information about rule. Rather, we emphasize its productive effect: Resistance allows new analytical perspectives on global power structures while, at the same time, reproducing them empirically."
Resources.,,Journal of Peacebuilding & Development,0,CIVIL society; PEACEBUILDING; PEACE; SUSTAINABLE development; INTERNATIONAL relations,,
Resumen.,,Latin American Review of Comparative Politics / Revista Latinoamericana de Politica Comparada,1,HUMAN rights; JURISDICTION (International law); DEMOCRACY; LATIN America,,"The article presents abstracts including ""Consolidation of Democracy and Constitutional Jurisdiction,"" by Dieter Nohlen, ""Constitutional Justice and Human Rights in Latin America,"" by Julio Rios Figueroa and ""Assessing the Judicial Government in Latin America: El Salvador Case,"" by Sebastián Linares."
Resúmenes.,,Estudios Sociológicos,1,OMBUDSPERSONS; MEXICO; MEXICO -- Social conditions; MEXICO -- Politics & government,,"The article presents abstracts on several articles, including ""Marginación en México a través del tiempo: a propósito del índice de Conapo"" by Fernando Cortés and Delfino Vargas, ""La consolidación de la democracia en México: avances y desafíos"" by Jorge Cadena-Roa and Miguel Armando López Leyva, and ""Los ombudsman en las entidades federativas en México: ¿cómo explicar su desempeño?"" by Alejandro Monsiváis Carrillo and Lena Alejandra Brena Ríos."
Resúmenes.,,International Political Science Review,0,"POLITICAL philosophy; DEMOCRACY; ISLAMIZATION; CANADA; CANADA -- Politics & government; INGLEHART, Ronald, 1934-; WELZEL, Christian",,"The article presents Spanish abstracts on political science topics including the notion of efficient democracy, developed by political scientists Ronald Inglehart and Christian Welzel, the views of the U.S. on Canadian governance, and the ethnic dimension of religious terrorism in Central Asia."
Resúmenes.,,International Political Science Review,0,DEMOCRACY; SOCIAL integration; EUROPEAN Union; GENDER differences (Psychology),,"This article presents abstracts of the articles in this issue written in the Spanish language. Topics include a discussion of different types of democracy, social integration in the countries of the European Union (EU), and a discussion of gender attitudes towards security in the EU."
Resúmenes.,"Rosalén, Vicent Sanz",International Review of Social History,0,"RELIGION & politics; SLAVE trade; HISTORY; POLITICAL philosophy; SPAIN; SPAIN -- Politics & government -- 19th century; RANCIERE, Jacques, 1940-",,"This article presents a section of abstracts for articles within the issue, including one on religion and politics in Spain during the first half of the 19th century, one on the works of French political philosopher Jacques Rancière, and one on the history of the slave trade."
Resúmenes.,,International Political Science Review,0,SANCTIONS (International law); CITIZENSHIP; IMMIGRANTS; AMERICAN military bases,,"The article provides Spanish language abstracts of articles that appear in this issue of the magazine including ""Diplomacia coercitiva y libertad de prensa: Una evaluación empírica del impacto de las sanciones económicas sobre el grado de apertura de los medios de comunicación,"" by Dursun Peksen, ""La ampliación de los derechos de ciudadanía a los inmigrantes: competición democrótica y nueva norma mundial,"" by Sybil Rhodes and Arus Harutyunyan and ""La clausura de bases militares: Auge y declive de las bases militares estadounidenses en España, 1975–2005,"" by Alexander Cooley and Jonathan Hopkin."
RESÚMENES.,,Foro Internacional,1,"PRACTICAL politics; POLITICAL leadership; CALDERON Hinojosa, Felipe, 1962-",,"The article presents abstracts related to politics, which include the performance of Mexican President Felipe Calderón Hinojosa's government during 2012, the administrative modernization of the government of Calderón, and political leadership during the presidency of Calderón."
RESÚMENES.,,Foro Internacional,1,"PETROLEUM export & import trade; POLITICAL participation; SYRIAN Civil War, 2011-; PALESTINIANS -- Israel",,"A series of abstracts is presented for the articles in this issue, including one on the Syrian civil war, one on Arab voters in Israel, and one on petroleum exports from the United States to Mexico."
RESÚMENES.,,Foro Internacional,1,"DRUG traffic; MEXICO; GLOBAL Financial Crisis, 2008-2009; CHINA -- Foreign relations",,"Abstracts of five articles featured earlier in the issue are provided, which discuss topics that include the 2008 financial crisis, contemporary foreign relations between Russia and China, and the Mexican war on drugs."
RESÚMENES.,,Revista de Fomento Social,1,SOCIOLOGY; IMMIGRANTS; PEOPLE with disabilities; EDUCATION; BUSINESS enterprises,,"The article presents abstracts of several articles related to sociology including ""Working Condition of Immigrants in the European Union: A Comparative Study,"" by José Antonio Ariza Montes, Alfonso Carlos Morales Gutiárrez, ""Education for the Handicapped in Spain,"" by Dolores Moreno Herrero, and ""The Company: Its Social Function and Its Role in Society. Fomenting and Demanding,"" by Cécile Renouard."
RESÚMENES.,,Revista de Fomento Social,1,CAPITALISM; REFORMS; IMMIGRATION law; INCOME maintenance programs,,"The article presents abstracts of articles in the issue including ""How to Reform Capitalism,"" ""Yet Another reform of the Immigration Law,"" and ""Twenty Years of Regional Integration of Minimum Income: The Basque Case in the Spanish and European Context."""
RESÚMENES.,,Foro Internacional,1,HEGEMONY; CABINET officers; MEXICO; UNITED States; PARTIDO Accion Nacional (Mexico); MEXICO -- Politics & government -- 20th century; FOREIGN relations of the United States,,"Abstracts, in Spanish, of articles published in the issue are presented, including one on 20th century Mexican political history, one on the global hegemony of the United States, and one on the cabinet members of Mexican presidents belonging to the Partido Acción Nacional (PAN) political party."
RESÚMENES.,,Foro Internacional,1,TRANSITIONAL justice; INTERNATIONAL relations; INTERNATIONAL cooperation; GOVERNMENT policy; ARGENTINA; MINERAL industries,,"A series of English-, French-, and Spanish-language abstracts is provided for articles in this issue, including one on transitional justice in Mexico, one on global governance, and one on mining policies in Argentina."
RESÚMENES.,,Foro Internacional,1,SOCIAL policy; DEMOCRATIZATION; SOCIAL movements; EUROPE; BULGARIA; MEXICO; BULGARIA -- Politics & government -- 1990-,,"The article presents Spanish language abstracts of articles published in the issue, including one on the harmonization of social policies in Europe, one on the transition to democracy in Bulgaria from 1989 to 1992, and one on social movements in Mexico during the Second World War."
